,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
BWK,NIST5,PoS,13247178.8807286,27716121,-0.30766351890969174,1.250657690905616,-0.23850268693833132,Bulwark,0
KLKS,Quark,PoS,16955764.902064,20000000,-0.3592640069580536,1.484996264902447,-0.24687794328113707,Kalkulus,0
AC3,X11,PoW,80316207.0,550000000,-0.21545797197661237,-0.8543199745186856,0.004711762956069636,AC3,3
LTHN,CryptoNight-V7,PoW,441250233.377,999481516,-0.13028872466126093,-2.2067272377265117,0.3351714065762458,Lethean,3
GER,Scrypt,PoW/PoS,4911500269.41,50000000000,0.07036825488795267,0.9977004529391598,-0.42144910642526767,GermanCoin,0
LTCU,Scrypt,PoW/PoS,8419402.321,150000000,-0.34419863397554573,1.0229087040012086,-0.4134615695280892,LiteCoin Ultra,0
POP,Scrypt,PoW,3964201248.87125,4999999999,-0.09495526648773503,-1.1246066252565827,0.021740570650436764,PopularCoin,3
PNX,X11,PoW/PoS,45174214.1078625,50000000,-0.3857715764426885,1.2921707971144551,-0.43234690528893105,PhantomX,0
PHO,BLAKE256,PoW,30089671530.5228, 90000000000,1.1124469508530666,-1.2998979013279994,0.058034666139122455,Photon,3
SUCR,X11,PoW,4229040.50393462,19800000,-0.22016028878442512,-0.8540599160520357,0.004804664648895322,Sucre,3
SPK,NeoScrypt,PoW,7847417.33355824,21000000,-0.1808980203816148,-1.6298364678995443,0.23876612847161088,SparksPay,3
WAGE,Quark,PoS,27299680.0,120000000,-0.3584261570405638,1.4849458676967544,-0.2468941351498752,Digiwage,0
GUN,NeoScrypt,PoW,299797953.0,500000000,-0.17391755248841909,-1.6299963132175646,0.23860809741898137,GunCoin,3
IRL,Scrypt,PoW,45483049.3398182,64000000,-0.17802933801564852,-1.1232656992414718,0.023671222295405848,IrishCoin,3
TROLL,Scrypt,PoW/PoS,591022748.0,900000000,-0.3317329497123654,1.0227006418327642,-0.4137506643071151,Trollcoin,0
LCP,Scrypt,PoW/PoS,2504486.227718,4000000,-0.34530943777301865,1.022985374983236,-0.4134409793282009,Litecoin Plus,0
MONK,X11,PoS,4407252.0,21000000,-0.3452763306031077,1.0765776010170949,-0.22150659180745794,Monkey Project,0
PCOIN,X11,PoW,8478104.33969947,23000000,-0.22008551809618798,-0.8540602105197507,0.004802845808295565,Pioneer Coin,3
UBTC,SHA-256,PoW,20166000.0,20166000,-0.13954468515669513,-1.2970449048899582,0.16122019209134847,UnitedBitcoin,3
ITZ,C11,PoW,11916588.09471,23000000,-0.1810990977103455,-1.2540227964681065,0.06737142022959194,Interzone,3
TPAY,POS 3.0,PoS,20445861.5344251,25000000,-0.3717872468643478,1.5453867435909363,-0.12705462338818,TokenPay,0
MCT,Ethash,PoS,1618033.0,1618033,-0.2820091073977353,-0.03761658833183834,0.07642980441171547,1717 Masonic Commemorative Token,0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000,-0.3323336296399322,0.16419513414591844,-0.18959742674982402,My Big Coin,0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000,8.072040849009442,-2.820711904681878,0.152201126700501,TurtleCoin,3
MUN,SkunkHash,PoW,4818338.98949984,16600000,-0.16160860881229305,-2.207719799197744,0.44177513814703423,MUNcoin,3
USX,Scrypt,PoW/PoS,234846265.782157,232000000,-0.3408438155252125,1.0229407065095777,-0.41354719928729355,Unified Society USDEX,0
NBR,CryptoNight,PoW,133932467.774108,336000000,0.3132659688258507,-2.2999524542953877,0.2973343271927695,Niobio Cash,3
SSS,Scrypt,PoW,10000000000.0,10000000000,0.014488386809904136,-1.1252697345676663,0.019098934318621946,ShareChain,3
TRF,Dagger,PoW,107325266.027783,100000000,-0.14799956602310438,-2.256664013290588,0.3463924470791465,Travelflex,3
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000,-0.18178123827106238,-1.2766805561613752,0.18512913735255868,KREDS,3
